MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageQual,PavedDrive,PoolArea,MiscVal,MoSold,SaleType,SaleCondition,SalePrice,houseage,houseremodelage,totalsf,totalarea,totalbaths,totalporchsf
60,RL,82.0,11287,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,6,Gable,CompShg,Plywood,Plywood,BrkFace,340.0,Gd,TA,CBlock,Gd,TA,Av,GLQ,386,GasA,Gd,Y,SBrkr,0,3,1,Gd,7,Typ,1,TA,Attchd,Fin,2,TA,Y,0,0,1,WD,Normal,228500,18,18,2403,2789,2.5,280
20,FV,60.0,7200,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,VinylSd,VinylSd,Stone,68.0,Gd,TA,PConc,Gd,TA,No,GLQ,357,GasA,Gd,Y,SBrkr,0,2,1,Gd,5,Typ,0,No,Attchd,Fin,2,TA,Y,0,0,5,New,Partial,185000,0,0,2167,2524,2.0,120
120,RL,34.0,5063,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,Stone,166.0,Gd,TA,PConc,Gd,TA,No,GLQ,410,GasA,Ex,Y,SBrkr,0,2,1,Gd,6,Typ,1,Gd,Attchd,RFn,2,TA,Y,0,0,4,ConLw,Normal,207500,2,1,2218,2628,3.0,234
20,RL,74.0,9612,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Feedr,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,72.0,Gd,TA,PConc,Gd,TA,No,Unf,1468,GasA,Ex,Y,SBrkr,0,3,1,Gd,6,Typ,1,Gd,Attchd,Fin,3,TA,Y,0,0,12,New,Partial,244600,1,0,1468,2936,2.0,360
120,RL,50.0,8012,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,Gable,CompShg,Plywood,ImStucc,No,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1145,GasA,Gd,Y,SBrkr,0,2,1,Gd,5,Typ,0,No,Attchd,RFn,2,TA,Y,0,0,7,WD,Normal,179200,15,15,2005,3150,3.0,52
160,FV,35.0,4251,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,Gable,CompShg,MetalSd,MetalSd,No,0.0,Gd,TA,PConc,Gd,TA,No,Unf,625,GasA,Ex,Y,SBrkr,0,2,1,Gd,5,Typ,0,No,Detchd,RFn,2,TA,Y,0,0,6,New,Partial,164700,1,0,1250,1875,2.5,54
50,RL,77.0,9786,Pave,IR1,Bnk,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.5Fin,6,7,Gable,CompShg,Wd Sdng,Wd Sdng,No,0.0,TA,TA,CBlock,TA,TA,No,Rec,312,GasA,TA,Y,SBrkr,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,2,TA,Y,0,0,6,WD,Normal,159000,44,25,2334,2646,1.5,128
20,RL,0.0,8125,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,4,Gable,CompShg,HdBoard,HdBoard,No,0.0,TA,TA,CBlock,TA,TA,No,BLQ,244,GasA,TA,Y,SBrkr,0,3,1,TA,5,Typ,0,No,No,No,0,No,Y,0,0,6,WD,Normal,88000,35,35,1472,1716,1.0,0
20,RL,0.0,9819,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,31.0,TA,Gd,CBlock,TA,TA,No,BLQ,432,GasA,TA,Y,SBrkr,0,3,1,TA,5,Typ,0,No,Detchd,Unf,1,TA,Y,0,0,2,WD,Normal,122000,43,43,1350,1782,1.0,0
70,RL,60.0,8730,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,RRAn,Norm,1Fam,2Story,6,7,Gable,CompShg,Wd Sdng,Wd Sdng,No,0.0,TA,TA,BrkTil,TA,TA,No,Unf,698,GasA,Ex,Y,FuseA,0,3,1,TA,7,Typ,0,No,Detchd,Unf,1,TA,Y,0,0,7,WD,Normal,153575,92,4,1396,2094,1.0,259
60,RL,120.0,15611,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,No,0.0,Gd,TA,PConc,Gd,TA,Av,Unf,1079,GasA,Ex,Y,SBrkr,0,3,1,Gd,8,Typ,1,Gd,Attchd,RFn,2,Gd,Y,0,0,7,New,Partial,233230,0,0,1919,2998,2.5,51
190,RL,55.0,5687,Pave,Reg,Bnk,AllPub,Inside,Gtl,SWISU,Norm,Norm,2fmCon,2Story,5,6,Gable,CompShg,VinylSd,VinylSd,No,0.0,TA,Fa,PConc,TA,Fa,No,Rec,570,GasA,Ex,N,SBrkr,0,6,1,Fa,9,Typ,0,No,No,No,0,No,N,0,0,3,WD,Normal,135900,96,8,1926,2496,3.0,184
50,RL,60.0,11409,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,4,Gable,CompShg,Wd Sdng,Wd Sdng,No,0.0,TA,TA,CBlock,TA,TA,No,LwQ,476,GasA,Gd,Y,SBrkr,0,3,1,TA,8,Min2,1,Gd,Attchd,Unf,1,TA,Y,0,0,1,WD,Normal,131000,60,1,2008,2484,1.5,160
60,RL,0.0,16659,Pave,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosA,Norm,1Fam,2Story,7,7,Gable,CompShg,Plywood,Plywood,BrkFace,34.0,TA,TA,CBlock,TA,TA,No,ALQ,0,GasA,Fa,Y,SBrkr,0,3,1,Gd,9,Typ,1,TA,Attchd,Fin,2,TA,Y,0,0,3,WD,Normal,235000,29,12,3058,3058,3.5,250
20,RL,80.0,9600,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,Hip,CompShg,HdBoard,HdBoard,Stone,238.0,TA,TA,CBlock,TA,TA,No,GLQ,131,GasA,TA,Y,SBrkr,0,3,1,TA,7,Typ,2,Gd,Attchd,Fin,2,TA,Y,0,0,10,WD,Normal,167000,56,56,2929,3060,2.0,110
80,RL,37.0,7937,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,6,6,Gable,CompShg,HdBoard,HdBoard,No,0.0,TA,TA,CBlock,TA,TA,Av,GLQ,184,GasA,TA,Y,SBrkr,0,3,1,TA,6,Typ,0,No,Detchd,Unf,2,TA,Y,0,0,3,WD,Normal,142500,22,22,1822,2006,2.0,120
50,RM,75.0,13710,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,5,5,Gable,CompShg,Wd Sdng,Wd Sdng,No,0.0,TA,TA,CBlock,TA,TA,No,BLQ,490,GasA,TA,Y,FuseA,0,4,1,TA,6,Typ,0,No,Attchd,Unf,1,TA,Y,0,0,6,WD,Normal,152000,57,57,1978,2468,1.5,289
60,FV,66.0,7399,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,1600.0,Gd,TA,PConc,Gd,TA,No,BLQ,326,GasA,Ex,Y,SBrkr,0,3,1,Gd,7,Typ,1,TA,Detchd,RFn,2,TA,Y,0,0,6,WD,Normal,239000,10,9,2599,2925,2.5,208
60,RL,90.0,11700,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,6,6,Mansard,CompShg,HdBoard,AsphShn,BrkFace,365.0,Gd,TA,CBlock,TA,TA,No,ALQ,143,GasA,Gd,Y,SBrkr,0,3,1,TA,7,Typ,1,Gd,Attchd,Unf,2,TA,Y,0,0,6,WD,Normal,175000,39,39,2302,2445,2.5,224
20,RL,80.0,14000,Pave,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,6,8,Gable,CompShg,HdBoard,HdBoard,No,0.0,TA,Gd,CBlock,TA,TA,No,Unf,1092,GasA,Ex,Y,SBrkr,0,3,1,Gd,6,Typ,1,Gd,Attchd,Unf,1,TA,Y,0,0,8,WD,Family,158500,59,5,1152,2244,1.5,36
190,RL,90.0,15750,Pave,Reg,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,2fmCon,1Story,5,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,56.0,TA,TA,CBlock,TA,TA,Mn,BLQ,324,GasA,TA,Y,SBrkr,0,2,1,TA,5,Typ,2,Gd,Attchd,Unf,1,TA,Y,0,0,6,WD,Normal,157000,53,53,2177,2501,2.0,0
60,RL,66.0,16226,Pave,IR3,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,No,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,747,GasA,Ex,Y,SBrkr,0,4,1,Gd,9,Typ,1,TA,BuiltIn,Fin,2,TA,Y,0,0,5,WD,Normal,267000,9,8,2733,3480,2.5,258
20,RL,118.0,13704,Pave,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,150.0,Gd,TA,PConc,Gd,TA,No,Unf,1541,GasA,Ex,Y,SBrkr,0,3,1,Gd,6,Typ,1,TA,Attchd,RFn,3,TA,Y,0,0,1,WD,Normal,205000,5,4,1541,3082,2.0,549
20,RL,70.0,9800,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,VinylSd,VinylSd,No,0.0,TA,TA,PConc,TA,TA,No,ALQ,0,GasA,TA,Y,SBrkr,0,3,1,TA,5,Typ,0,No,Attchd,Unf,2,TA,Y,0,0,7,WD,Abnorml,149900,34,34,1788,1788,2.0,256
75,RM,87.0,18386,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2.5Fin,7,9,Gable,CompShg,CemntBd,CmentBd,No,0.0,TA,TA,BrkTil,TA,TA,No,Unf,1470,GasA,Ex,Y,SBrkr,0,3,1,Gd,10,Typ,1,Ex,Attchd,Unf,3,TA,Y,0,0,5,WD,Normal,295000,128,6,3493,4963,3.0,302
20,RL,80.0,10386,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,CemntBd,CmentBd,Stone,246.0,Gd,TA,PConc,Gd,TA,No,GLQ,536,GasA,Ex,Y,SBrkr,0,3,1,Gd,8,Typ,0,No,Attchd,Fin,3,TA,Y,0,0,7,WD,Normal,305900,3,2,3464,4000,3.0,168
60,RL,116.0,13474,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,1Fam,2Story,7,5,Gable,CompShg,HdBoard,Plywood,BrkFace,246.0,Gd,TA,CBlock,Gd,TA,No,ALQ,0,GasA,Gd,Y,SBrkr,0,4,1,Gd,8,Typ,1,TA,Attchd,RFn,3,TA,Y,0,0,6,WD,Normal,225000,17,16,2943,2943,3.5,395
50,RM,0.0,7920,Pave,IR1,Lvl,AllPub,Inside,Gtl,IDOTRR,Artery,Norm,1Fam,1.5Fin,6,7,Gable,CompShg,MetalSd,MetalSd,No,0.0,TA,Fa,CBlock,TA,TA,No,Unf,319,GasA,TA,Y,FuseA,0,3,1,Fa,6,Typ,0,No,No,No,0,No,N,0,0,3,WD,Normal,89500,88,58,1406,1725,1.0,144
30,RL,0.0,12342,Pave,IR1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,5,Gable,CompShg,VinylSd,VinylSd,No,0.0,TA,TA,CBlock,TA,TA,No,BLQ,599,GasA,Ex,Y,SBrkr,0,1,1,TA,4,Typ,0,No,Detchd,Unf,2,TA,Y,0,0,3,WD,Normal,82500,69,59,1123,1722,1.0,158
20,RL,90.0,12378,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,Gable,CompShg,VinylSd,VinylSd,No,0.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,622,GasA,Ex,Y,SBrkr,0,3,1,Ex,8,Typ,3,Ex,Attchd,Fin,3,TA,Y,0,0,11,WD,Normal,360000,3,2,3218,3840,3.0,383
60,RL,0.0,7685,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,112.0,TA,TA,PConc,Gd,TA,No,ALQ,179,GasA,Gd,Y,SBrkr,0,3,1,Gd,6,Typ,1,TA,Attchd,Fin,2,TA,Y,0,0,5,WD,Normal,165600,13,12,2019,2198,2.5,253
20,RL,50.0,8000,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,Gable,CompShg,VinylSd,VinylSd,No,0.0,TA,Gd,CBlock,TA,TA,No,ALQ,292,GasA,Ex,Y,SBrkr,0,2,1,TA,5,Typ,1,Gd,Detchd,Unf,1,TA,Y,0,0,5,WD,Normal,132000,61,7,1652,1944,2.0,0
190,RM,65.0,7800,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,2fmCon,1.5Fin,5,7,Gable,CompShg,MetalSd,MetalSd,No,0.0,TA,TA,CBlock,Gd,TA,Mn,Rec,286,GasA,TA,Y,SBrkr,0,3,1,TA,5,Typ,1,Gd,Detchd,Unf,2,TA,Y,0,0,5,WD,Normal,119900,67,56,1625,1911,2.0,271
70,RM,60.0,9600,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,7,Gable,CompShg,Wd Sdng,Wd Sdng,No,0.0,TA,TA,BrkTil,TA,Gd,No,LwQ,712,GasA,Ex,Y,SBrkr,0,3,1,Ex,6,Typ,1,Gd,Detchd,Unf,2,Fa,Y,0,0,8,WD,Normal,178000,81,16,1657,2369,2.0,234
60,RL,71.0,7795,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,No,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,291,GasA,Ex,Y,SBrkr,0,3,1,Gd,6,Typ,1,Gd,Attchd,Fin,2,TA,Y,0,0,7,WD,Normal,188500,5,4,1857,2148,3.5,151
60,RL,94.0,13005,Pave,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,Norm,Norm,1Fam,2Story,7,7,Gable,CompShg,CemntBd,CmentBd,BrkFace,278.0,Gd,TA,CBlock,Gd,TA,No,GLQ,153,GasA,TA,Y,SBrkr,0,4,1,Ex,10,Typ,1,TA,Attchd,RFn,2,TA,Y,0,0,8,WD,Normal,260000,29,29,3045,3198,3.5,483
60,FV,75.0,9000,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,No,0.0,Gd,TA,PConc,Gd,TA,Av,Unf,1088,GasA,Ex,Y,SBrkr,0,3,1,Gd,8,Typ,1,Gd,Attchd,RFn,3,TA,Y,0,0,12,WD,Normal,270000,1,1,1959,3047,2.5,254
60,RL,90.0,9900,Pave,Reg,Low,AllPub,Inside,Mod,NoRidge,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,256.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,360,GasA,Ex,Y,SBrkr,0,4,1,Gd,9,Typ,1,TA,Attchd,RFn,3,TA,Y,0,0,4,WD,Normal,260000,16,16,3633,3993,3.5,544
80,RL,0.0,14115,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SLvl,7,5,Gable,CompShg,Plywood,Plywood,BrkFace,225.0,TA,TA,CBlock,Gd,TA,Av,GLQ,336,GasA,TA,Y,SBrkr,0,3,1,TA,6,Typ,2,TA,Attchd,Unf,2,TA,Y,0,0,6,WD,Normal,187500,29,29,2508,2844,3.0,281
60,RL,111.0,16259,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,Gable,CompShg,VinylSd,VinylSd,Stone,370.0,TA,TA,PConc,Ex,Gd,Av,Unf,1249,GasA,Ex,Y,SBrkr,0,4,1,Gd,9,Typ,0,No,Attchd,RFn,3,TA,Y,0,0,9,New,Partial,342643,0,0,2596,3845,3.5,394
60,RL,99.0,12099,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,388.0,Gd,TA,PConc,Ex,TA,Av,GLQ,166,GasA,Ex,Y,SBrkr,0,4,1,Gd,10,Typ,1,Gd,BuiltIn,Fin,3,TA,Y,0,0,6,WD,Normal,354000,3,3,3438,3604,3.5,338
60,RL,86.0,10380,Pave,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,Plywood,Plywood,BrkFace,172.0,Gd,TA,CBlock,TA,TA,Gd,LwQ,0,GasA,Ex,Y,SBrkr,0,4,1,Gd,8,Typ,1,TA,Attchd,Fin,2,TA,Y,0,0,8,WD,Normal,301000,21,20,4232,4232,3.5,297
20,RM,49.0,5820,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,3,8,Gable,CompShg,VinylSd,VinylSd,No,0.0,TA,Gd,CBlock,TA,TA,No,ALQ,906,GasA,Ex,Y,SBrkr,0,3,1,TA,6,Typ,0,No,Attchd,Unf,1,Fa,Y,0,0,7,WD,Normal,126175,51,1,1419,2325,2.0,240
80,RL,96.0,11275,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,PosN,Norm,1Fam,SLvl,7,7,Mansard,WdShake,Wd Sdng,Wd Sdng,BrkFace,300.0,Gd,Gd,CBlock,Gd,TA,No,Unf,710,GasA,Ex,Y,SBrkr,0,5,1,Gd,11,Typ,1,Gd,BuiltIn,Fin,2,TA,Y,0,0,6,WD,Normal,242000,43,3,2978,3688,2.5,240
45,RM,50.0,5000,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,RRAe,Norm,1Fam,1.5Unf,5,6,Gable,CompShg,MetalSd,MetalSd,No,0.0,TA,TA,CBlock,TA,TA,Av,BLQ,604,GasA,Po,N,FuseF,0,2,1,TA,5,Typ,0,No,Detchd,Unf,2,TA,Y,0,0,12,WD,Normal,87000,66,57,919,1523,1.0,244
120,RL,32.0,10846,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,Gable,CompShg,BrkFace,BrkFace,No,0.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,100,GasA,Ex,Y,SBrkr,0,1,1,Gd,6,Typ,2,Gd,Attchd,Fin,2,TA,Y,0,0,5,Con,Normal,324000,15,15,3338,3438,3.5,152
20,RL,80.0,11600,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,175.0,TA,TA,CBlock,TA,TA,No,Rec,818,GasA,TA,Y,SBrkr,0,3,1,TA,7,Typ,0,No,Attchd,RFn,1,TA,Y,0,0,4,WD,Normal,145250,46,46,1948,2766,1.5,45
75,RL,0.0,11888,Pave,IR1,Bnk,AllPub,Inside,Gtl,BrkSide,PosN,Norm,1Fam,2.5Unf,6,6,Gable,CompShg,Wd Sdng,Wd Shng,No,0.0,TA,TA,BrkTil,TA,TA,No,Unf,844,GasA,Gd,N,FuseA,0,5,1,Gd,10,Typ,0,No,Detchd,Unf,2,TA,Y,0,0,7,WD,Normal,214500,93,15,2134,2978,2.0,328
70,RM,60.0,6402,Pave,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,2Story,5,5,Gable,CompShg,Wd Sdng,Wd Shng,No,0.0,TA,TA,PConc,TA,TA,Mn,Unf,596,GasA,TA,N,SBrkr,0,3,1,TA,6,Typ,0,No,Detchd,Unf,1,Fa,N,0,0,7,WD,Normal,78000,89,59,1192,1788,1.0,137
90,RL,0.0,10624,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,Duplex,1Story,5,4,Gable,CompShg,HdBoard,HdBoard,BrkFace,84.0,TA,TA,CBlock,TA,TA,No,GLQ,1424,GasA,TA,Y,SBrkr,0,6,2,TA,10,Typ,0,No,Detchd,Unf,1,TA,Y,0,0,11,WD,Normal,119000,43,43,2032,3456,2.5,155
20,RL,70.0,8176,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,Wd Sdng,Wd Sdng,No,0.0,TA,TA,CBlock,TA,TA,No,Rec,210,GasA,Fa,Y,SBrkr,0,3,1,TA,6,Typ,0,No,Attchd,RFn,1,TA,Y,0,0,8,WD,Normal,139000,49,15,1902,2112,2.0,0
20,RL,85.0,10655,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,296.0,Gd,TA,PConc,Gd,TA,No,GLQ,1603,GasA,Ex,Y,SBrkr,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3,TA,Y,0,0,10,WD,Normal,284000,6,5,3232,4835,3.0,0
120,RM,59.0,8198,Pave,Reg,Lvl,AllPub,FR3,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,Stone,146.0,Gd,TA,PConc,Gd,TA,Av,GLQ,638,GasA,Ex,Y,SBrkr,0,2,1,Gd,6,Typ,1,Gd,Attchd,RFn,2,TA,Y,0,0,7,WD,Normal,207000,4,4,2078,2716,3.0,222
60,RL,59.0,9042,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,Gable,CompShg,VinylSd,VinylSd,No,0.0,TA,TA,PConc,Gd,TA,Gd,GLQ,115,GasA,Gd,Y,SBrkr,0,3,1,TA,7,Typ,2,TA,Attchd,Fin,2,TA,Y,0,0,7,WD,Normal,192000,10,10,2466,2581,3.5,138
20,RL,86.0,14157,Pave,IR1,HLS,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,5,Hip,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,673,GasA,Ex,Y,SBrkr,0,3,1,Gd,8,Typ,1,Gd,Attchd,Fin,3,TA,Y,0,0,7,WD,Normal,377426,2,1,3171,3844,3.0,229
20,RL,70.0,9135,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,113.0,Gd,TA,PConc,Gd,TA,Av,GLQ,726,GasA,Ex,Y,SBrkr,0,3,1,Gd,7,Typ,0,No,Attchd,RFn,2,TA,Y,0,0,12,WD,Normal,214000,6,5,2346,3072,3.0,266
20,RL,91.0,14145,Pave,Reg,Lvl,AllPub,Corner,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,7,Gable,CompShg,Wd Sdng,Wd Sdng,No,0.0,Gd,TA,CBlock,Gd,TA,Mn,ALQ,995,GasA,Ex,Y,SBrkr,0,3,1,Gd,8,Typ,0,No,Attchd,RFn,2,TA,Y,0,400,5,WD,Normal,202500,22,8,1834,2829,3.0,153
20,RL,66.0,12400,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,6,7,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,176.0,TA,TA,CBlock,TA,Fa,No,Rec,630,GasA,TA,Y,FuseA,0,3,1,TA,6,Typ,0,No,Attchd,Unf,1,TA,Y,0,0,6,WD,Normal,155000,51,11,1800,2430,1.0,234
60,RL,85.0,14191,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,No,0.0,Gd,TA,PConc,Gd,TA,No,Unf,967,GasA,Ex,Y,SBrkr,0,4,1,Gd,9,Typ,0,No,Attchd,Fin,2,TA,Y,0,0,4,WD,Normal,202900,8,8,1908,2875,2.5,135
20,RH,60.0,8400,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,1Fam,1Story,4,4,Gable,CompShg,Wd Sdng,AsbShng,No,0.0,Fa,Fa,CBlock,TA,Fa,No,Unf,721,GasA,Gd,Y,SBrkr,0,2,1,TA,4,Typ,0,No,CarPort,Unf,1,TA,N,0,0,9,WD,Normal,82000,59,59,841,1562,1.0,274
90,RL,0.0,8544,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,Duplex,1Story,3,4,Gable,CompShg,Stucco,Stucco,BrkFace,340.0,TA,TA,Slab,No,No,No,Unf,0,Wall,Fa,N,FuseA,0,2,2,TA,6,Typ,0,No,Detchd,Unf,2,TA,Y,0,0,5,WD,Normal,87500,57,56,1040,1040,2.0,0
120,RL,63.0,8849,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,616.0,Ex,TA,PConc,Ex,TA,No,GLQ,1656,GasA,Ex,Y,SBrkr,0,2,1,Ex,6,Typ,1,Ex,Attchd,RFn,2,TA,Y,0,0,7,WD,Normal,266000,3,3,1712,3368,2.0,567
160,RM,36.0,2592,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,5,3,Gable,CompShg,CemntBd,CmentBd,No,0.0,TA,TA,CBlock,Gd,TA,No,Rec,175,GasA,TA,Y,SBrkr,0,3,1,TA,4,Typ,0,No,Attchd,Unf,1,TA,Y,0,0,4,WD,Normal,85000,34,34,1473,1648,1.5,182
50,RL,65.0,6435,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,RRAn,Norm,1Fam,1.5Fin,6,5,Gable,CompShg,MetalSd,MetalSd,No,0.0,TA,TA,BrkTil,TA,TA,No,Unf,972,GasA,Gd,Y,SBrkr,0,3,1,Fa,6,Typ,1,Gd,Detchd,Unf,1,TA,Y,0,0,10,WD,Normal,140200,67,56,1577,2549,1.0,0
20,RL,0.0,12772,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,8,Hip,CompShg,MetalSd,MetalSd,No,0.0,TA,Gd,CBlock,TA,TA,Mn,BLQ,460,GasA,TA,Y,SBrkr,0,2,1,TA,5,Typ,0,No,Attchd,RFn,1,TA,Y,0,15500,4,WD,Normal,151500,47,9,1456,1916,1.0,0
